X,Y,GRUP
124,-26,6
113,-11,6
46,-71,1
-167,-168,4
175,169,0
-156,-95,3
-47,31,2
22,-79,1
20,-95,1
15,-88,1
-168,-102,3
-62,-86,5
-80,-82,5
-126,-106,3
-44,-67,5
-73,-82,5
178,156,0
-60,-82,5
-165,-168,4
-171,-167,4
-69,-77,5
-76,-93,5
-60,-86,5
183,180,0
-46,16,2
17,-71,1
120,-33,6
28,-101,1
189,161,0
-62,-62,5
-75,-65,5
-39,12,2
-49,22,2
31,-86,1
-64,-82,5
16,-78,1
-166,-171,4
-146,-85,3
111,-1,6
-167,-114,3
-56,-93,5
-166,-177,4
-160,-118,3
-65,-66,5
189,163,0
-170,-163,4
27,-80,1
-79,-89,5
-173,-171,4
123,-14,6
176,160,0
179,169,0
-67,-88,5
-37,24,2
-177,-168,4
177,194,0
-166,-171,4
-54,33,2
120,-16,6
165,181,0
173,183,0
-56,5,2
-56,31,2
-172,-173,4
-149,-100,3
-175,-161,4
-148,-110,3
33,-86,1
27,-56,1
-156,-80,3
6,-80,1
35,-85,1
118,-19,6
-162,-104,3
-82,-68,5
18,-82,1
116,-33,6
21,-76,1
168,160,0
-170,-174,4
20,-77,1
-67,-71,5
163,179,0
184,160,0
-30,25,2
-65,-98,5
-173,-172,4
-60,25,2
-77,34,2
-66,-72,5
-169,-181,4
26,-89,1
-164,-102,3
-157,-94,3
-145,-91,3
181,173,0
-165,-160,4
170,179,0
-54,13,2
-44,13,2
111,-9,6
-58,19,2
-70,-83,5
-81,-78,5
-48,15,2
-156,-96,3
9,-70,1
10,-82,1
182,166,0
-66,-73,5
189,164,0
118,-31,6
-74,-80,5
113,-15,6
117,-24,6
14,-73,1
125,-7,6
-67,30,2
-64,31,2
128,-16,6
132,-26,6
24,-77,1
-75,-74,5
-176,-171,4
-143,-96,3
-158,-119,3
130,-43,6
16,-69,1
-66,6,2
181,152,0
-73,-96,5
4,-91,1
-77,-86,5
196,168,0
21,-85,1
-147,-90,3
-44,33,2
-168,-176,4
-54,5,2
-154,-85,3
-139,-109,3
-50,37,2
116,-16,6
24,-67,1
188,167,0
124,-28,6
-47,6,2
-48,51,2
176,183,0
-44,18,2
3,-73,1
19,-67,1
15,-76,1
-146,-103,3
5,-66,1
-34,15,2
-171,-102,3
-58,-88,5
-70,-103,5
-169,-168,4
15,-102,1
192,149,0
165,181,0
197,172,0
182,165,0
170,181,0
-48,18,2
173,181,0
108,-6,6
19,-75,1
-148,-106,3
-61,-75,5
-145,-111,3
192,170,0
-54,25,2
182,188,0
21,-83,1
-162,-175,4
-47,28,2
-170,-168,4
-160,-113,3
-173,-169,4
-168,-161,4
178,187,0
-167,-174,4
182,162,0
-172,-172,4
164,172,0
-168,-177,4
-50,16,2
-56,-74,5
-132,-113,3
11,-70,1
-175,-171,4
-68,-75,5
182,162,0
-36,13,2
-72,12,2
-53,19,2
-59,-65,5
-172,-169,4
15,-78,1
-42,24,2
-88,-79,5
-51,7,2
185,168,0
-95,-77,5
-159,-94,3
116,-12,6
182,190,0
25,-78,1
180,179,0
-57,-79,5
19,-72,1
122,-22,6
-149,-109,3
12,-70,1
-63,21,2
-40,20,2
183,174,0
-172,-93,3
197,171,0
7,-95,1
-162,-130,3
182,163,0
-48,0,2
160,165,0
-82,-76,5
22,-87,1
-76,179,5
-170,-162,4
27,-86,1
22,-95,1
-131,-107,3
-163,-111,3
-53,21,2
-174,-173,4
-125,-101,3
-46,11,2
114,-20,6
-152,-83,3
12,-97,1
-40,18,2
-69,8,2
117,-5,6
-74,-88,5
-59,-92,5
-152,-98,3
93,-23,6
-174,-181,4
15,-81,1
126,-32,6
17,-84,1
128,-26,6
-85,-65,5
114,-29,6
-65,-71,5
-81,-90,5
-153,-97,3
-173,-177,4
13,-100,1
-61,7,2
8,-82,1
-167,-164,4
-149,-101,3
170,187,0
138,-26,6
8,-84,1
-135,-103,3
-169,-173,4
185,158,0
-46,25,2
-42,21,2
-43,24,2
-159,-168,4
108,-21,6
-139,-106,3
-176,-171,4
10,-83,1
-155,-118,3
176,165,0
24,-84,1
-45,32,2
33,-92,1
168,184,0
-141,-101,3
-169,-172,4
-2,-62,1
7,-89,1
129,-16,6
21,-76,1
17,-85,1
-57,13,2
-66,-87,5
-75,-68,5
-156,-97,3
171,172,0
13,-96,1
-175,-175,4
175,177,0
131,-37,6
-173,-85,3
128,-51,6
134,-20,6
-174,-169,4
-177,-166,4
178,143,0
-175,-176,4
16,-75,1
-72,11,2
-66,29,2
-176,-164,4
-43,26,2
-67,-90,5
18,-95,1
-76,-75,5
-174,-108,3
-171,-175,4
-148,-119,3
-74,-85,5
-161,-90,3
169,164,0
186,164,0
-152,-119,3
31,-87,1
16,-77,1
-164,-177,4
193,172,0
116,-24,6
-157,-98,3
133,-13,6
178,176,0
-51,13,2
-84,-86,5
-160,-97,3
-175,-174,4
159,180,0
-151,-100,3
25,-77,1
26,-88,1
