X,Y,GRUP
184,157,0
-51,22,2
-60,11,2
-35,22,2
-55,27,2
10,-82,1
28,-94,1
-35,14,2
196,146,0
-52,5,2
20,-69,1
192,163,0
10,-108,1
167,157,0
17,-78,1
25,-69,1
23,-76,1
-62,32,2
182,158,0
27,-86,1
-35,28,2
-60,26,2
8,-81,1
-53,25,2
20,-86,1
15,-76,1
-48,12,2
192,166,0
181,175,0
-58,18,2
-65,14,2
-44,28,2
22,-74,1
176,172,0
172,175,0
-30,23,2
182,169,0
19,-92,1
10,-86,1
33,-85,1
158,177,0
-44,29,2
-57,12,2
188,150,0
-62,21,2
-51,14,2
-1,-92,1
18,-97,1
177,145,0
195,191,0
189,164,0
13,-76,1
-69,11,2
173,174,0
30,-73,1
174,171,0
185,178,0
-42,6,2
-44,35,2
40,-87,1
24,-84,1
27,-70,1
-41,23,2
14,-73,1
51,-89,1
19,-88,1
176,157,0
196,168,0
-54,19,2
-50,20,2
-69,11,2
-60,17,2
12,-87,1
170,180,0
174,171,0
23,-80,1
25,-87,1
165,177,0
-60,18,2
-45,4,2
-47,25,2
-62,36,2
-48,16,2
-49,23,2
-45,8,2
183,181,0
-42,4,2
-58,16,2
24,-83,1
3,-84,1
-57,27,2
-63,14,2
18,-73,1
176,180,0
-60,9,2
10,-79,1
-47,32,2
174,195,0
188,171,0
182,178,0
-42,21,2
-56,36,2
181,175,0
16,-90,1
184,155,0
-54,36,2
-48,26,2
178,185,0
9,-76,1
-68,16,2
184,167,0
-57,26,2
171,181,0
-44,11,2
17,-68,1
13,-100,1
-35,29,2
-38,27,2
178,179,0
-33,18,2
34,-69,1
190,169,0
-43,23,2
193,181,0
17,-75,1
-67,24,2
-44,29,2
172,184,0
16,-85,1
8,-72,1
-48,5,2
-56,-7,2
168,181,0
173,157,0
22,-73,1
20,-100,1
12,-80,1
171,188,0
184,174,0
-53,24,2
23,-70,1
175,182,0
26,-87,1
22,-83,1
21,-84,1
177,173,0
-45,28,2
-68,24,2
38,-84,1
182,177,0
26,-65,1
11,-93,1
-47,21,2
186,181,0
-46,5,2
17,-68,1
-45,37,2
30,-64,1
-55,24,2
-67,29,2
173,167,0
-53,29,2
-69,37,2
20,-75,1
186,164,0
185,190,0
183,153,0
18,-79,1
-57,23,2
16,-84,1
19,-70,1
-50,10,2
15,-57,1
-39,43,2
-53,20,2
190,176,0
2,-79,1
169,185,0
178,159,0
163,153,0
18,-83,1
183,171,0
-41,25,2
-58,39,2
171,172,0
-51,39,2
21,-80,1
182,168,0
1,-57,1
15,-78,1
170,171,0
174,180,0
-40,24,2
-40,23,2
-50,8,2
179,157,0
171,166,0
-55,13,2
179,170,0
54,-79,1
-44,12,2
170,176,0
-30,31,2
24,-86,1
-36,35,2
-40,21,2
196,165,0
168,176,0
-41,13,2
-55,19,2
-36,33,2
180,193,0
23,-57,1
7,-74,1
-67,5,2
20,-81,1
-59,29,2
-71,15,2
-48,28,2
16,-81,1
177,177,0
173,182,0
-49,20,2
182,-145,0
18,-83,1
182,169,0
14,-90,1
-68,12,2
192,180,0
-67,23,2
-42,17,2
9,-90,1
177,167,0
-66,19,2
25,-80,1
-45,25,2
-42,7,2
23,-75,1
-56,11,2
191,172,0
-43,17,2
2,-83,1
181,160,0
-49,16,2
26,-87,1
26,-79,1
159,173,0
38,-67,1
10,-69,1
-49,35,2
4,-100,1
-49,20,2
-55,14,2
16,-96,1
30,-91,1
31,-78,1
-38,19,2
190,151,0
3,-88,1
10,-63,1
167,145,0
21,-84,1
36,-69,1
-61,-74,2
27,-79,1
-46,8,2
-52,23,2
15,-76,1
163,186,0
12,-73,1
174,-68,1
-53,42,2
-45,17,2
24,-94,1
22,-62,1
12,-91,1
193,144,0
194,162,0
-56,33,2
26,-115,1
10,-89,1
36,-63,1
8,-80,1
22,-68,1
16,-76,1
182,180,0
5,-91,1
31,-93,1
-60,20,2
173,163,0
-50,5,2
175,170,0
-57,23,2
184,174,0
-59,18,2
-55,10,2
-44,20,2
14,-70,1
196,170,0
11,-60,1
18,-71,1
-50,10,2
187,151,0
181,175,0
174,165,0
29,-76,1
46,-62,1
15,-58,1
7,-88,1
190,99,0
20,-65,1
-53,10,2
158,180,0
166,176,0
-43,11,2
26,-87,1
-51,29,2
17,-70,1
170,163,0
20,-72,1
22,-95,1
-47,13,2
14,-77,1
188,159,0
-3,-86,1
38,-90,1
-59,21,2
193,175,0
-56,24,2
167,162,0
4,-91,1
27,-67,1
179,170,0
198,162,0
183,171,0
-58,23,2
-56,23,2
-53,20,2
193,161,0
-49,36,2
182,171,0
172,161,0
-48,11,2
-61,1,2
25,-86,1
-45,7,2
175,182,0
-47,12,2
28,-92,1
185,162,0
8,-99,1
-50,19,2
175,178,0
-60,32,2
26,-64,1
-51,20,2
-67,28,2
188,143,0
166,176,0
158,156,0
172,164,0
38,-89,1
-46,17,2
-49,5,2
14,-79,1
185,179,0
180,153,0
171,185,0
190,183,0
187,159,0
37,-79,1
31,-81,1
175,168,0
20,-78,1
-49,19,2
178,185,0
-44,23,2
-28,9,2
-56,22,2
191,159,0
187,161,0
20,-74,1
187,166,0
-55,36,2
197,160,0
25,-99,1
170,178,0
-37,35,2
-48,7,2
-47,23,2
-42,28,2
24,-85,1
-59,23,2
21,-70,1
-36,22,2
17,-102,1
-39,7,2
-40,31,2
10,-75,1
9,-78,1
184,172,0
30,-81,1
24,-71,1
183,171,0
-59,23,2
-47,29,2
183,193,0
-50,2,2
16,-84,1
-46,35,2
23,-92,1
28,-69,1
-54,5,2
-55,30,2
-62,4,2
40,-85,1
24,-80,1
41,-80,1
192,163,0
-46,29,2
-47,27,2
21,-81,1
182,182,0
177,166,0
182,154,0
25,-71,1
20,-66,1
176,180,0
-47,31,2
164,178,0
12,-77,1
28,-88,1
-76,38,2
172,171,0
178,173,0
22,-88,1
168,172,0
-70,26,2
26,-89,1
10,-68,1
34,-75,1
-62,2,2
-60,13,2
-40,28,2
27,-76,1
194,174,0
-10,-67,1
176,146,0
-29,14,2
-37,20,2
173,162,0
179,167,0
18,-78,1
-59,16,2
16,-98,1
-37,10,2
178,192,0
31,-86,1
13,-72,1
-37,20,2
-48,1,2
171,154,0
-59,22,2
-63,6,2
179,160,0
7,-93,1
7,-89,1
175,169,0
11,-78,1
-37,23,2
9,-95,1
168,180,0
182,153,0
13,-85,1
170,165,0
-64,10,2
190,171,0
14,-85,1
179,167,0
-61,15,2
-56,22,2
185,174,0
178,167,0
175,191,0
178,175,0
38,-69,1
-8,-89,1
-39,-3,2
-43,13,2
-61,24,2
23,-83,1
166,168,0
-38,28,2
-53,30,2
183,175,0
-45,30,2
-43,13,2
163,170,0
24,-70,1
21,-68,1
-73,17,2
12,-100,1
-44,15,2
-46,33,2
16,-83,1
184,160,0
-51,7,2
21,-93,1
163,165,0
32,-76,1
5,-63,1
168,176,0
-37,10,2
168,173,0
25,-69,1
178,175,0
23,-74,1
15,-80,1
-34,26,2
-52,26,2
182,146,0
-61,11,2
-45,17,2
20,-70,1
-34,10,2
15,-73,1
-37,14,2
39,-72,1
182,167,0
167,161,0
35,-63,1
-59,36,2
27,-73,1
-44,14,2
-60,24,2
-51,13,2
181,159,0
178,152,0
185,188,0
175,181,0
1,-100,1
-54,13,2
36,-71,1
-49,31,2
15,-88,1
12,-79,1
177,171,0
-40,22,2
14,-66,1
-47,12,2
14,-78,1
195,179,0
22,-78,1
16,-88,1
18,-74,1
17,-80,1
22,-86,1
12,-92,1
1,-88,1
21,-83,1
37,-63,1
191,165,0
15,-66,1
33,-71,1
2,-69,1
-51,32,2
162,149,0
23,-86,1
-50,1,2
-47,31,2
184,172,0
-57,18,2
194,170,0
199,177,0
-57,30,2
28,-77,1
-54,21,2
-56,10,2
-24,21,2
9,-73,1
177,170,0
38,-91,1
32,-76,1
-48,9,2
16,-99,1
-31,18,2
-51,16,2
-58,31,2
-51,12,2
-69,30,2
183,183,0
25,-89,1
11,-83,1
190,160,0
34,-78,1
14,-59,1
157,154,0
37,-79,1
-48,10,2
187,189,0
172,176,0
24,-83,1
-56,7,2
191,161,0
26,-80,1
22,-71,1
26,-83,1
190,167,0
184,185,0
1,-72,1
179,137,0
-55,9,2
-35,14,2
178,173,0
8,-93,1
181,175,0
177,161,0
18,-86,1
11,-81,1
37,-84,1
23,-100,1
-63,19,2
180,161,0
-47,16,2
22,-75,1
22,-89,1
34,-61,1
19,-81,1
174,182,0
-45,7,2
163,176,0
37,-88,1
-41,21,2
-55,25,2
-59,30,2
-61,4,2
-54,21,2
22,-71,1
175,177,0
179,173,0
36,-75,1
180,197,0
13,-69,1
181,160,0
-39,12,2
-37,25,2
-59,14,2
16,-80,1
9,-72,1
16,-84,1
159,161,0
-41,28,2
20,-79,1
27,-82,1
-39,33,2
195,164,0
35,-94,1
-49,25,2
163,175,0
-46,16,2
-62,14,2
181,157,0
179,167,0
187,167,0
1,-71,1
-46,22,2
-32,43,2
184,175,0
176,150,0
-60,-10,2
187,169,0
39,-71,1
187,184,0
18,-103,1
182,159,0
-32,1,2
27,-102,1
36,-77,1
-52,37,2
-50,29,2
175,171,0
-39,20,2
188,181,0
184,166,0
-26,16,2
-37,9,2
-43,32,2
170,166,0
199,181,0
30,-65,1
38,-108,1
33,-73,1
7,-69,1
18,-96,1
-50,19,2
185,152,0
9,-83,1
20,-82,1
-64,34,2
28,-105,1
40,-76,1
-38,23,2
192,157,0
173,166,0
18,-93,1
12,-96,1
185,164,0
-57,20,2
11,-77,1
196,163,0
34,-94,1
12,-73,1
194,156,0
184,180,0
41,-85,1
-59,14,2
-56,19,2
24,-77,1
189,173,0
-44,5,2
179,177,0
-45,27,2
-56,25,2
186,167,0
11,-98,1
181,175,0
-71,12,2
22,-90,1
30,-104,1
-37,18,2
-42,20,2
8,-75,1
183,172,0
194,176,0
172,164,0
181,188,0
-46,27,2
-45,23,2
-51,33,2
15,-81,1
179,162,0
6,-75,1
-49,27,2
33,-72,1
-34,16,2
186,189,0
32,-75,1
172,163,0
-59,22,2
196,167,0
-66,44,2
-49,25,2
161,178,0
194,169,0
18,-88,1
174,174,0
188,179,0
-67,35,2
-30,20,2
-50,33,2
16,-75,1
181,166,0
28,-74,1
14,-82,1
3,-86,1
40,-83,1
183,144,0
196,171,0
187,170,0
177,165,0
20,-87,1
31,-64,1
-75,4,2
15,-85,1
-44,24,2
174,188,0
33,-74,1
-51,16,2
-47,5,2
17,-83,1
7,-65,1
-52,26,2
180,183,0
188,170,0
166,162,0
179,166,0
25,-81,1
186,173,0
-58,25,2
-41,30,2
-55,19,2
20,-98,1
3,-89,1
27,-83,1
15,-90,1
26,-91,1
173,177,0
168,163,0
-62,31,2
34,-103,1
180,178,0
-51,18,2
24,-69,1
33,-79,1
189,180,0
-54,9,2
-40,17,2
16,-81,1
171,175,0
-45,13,2
10,-87,1
-54,23,2
-42,30,2
32,-85,1
-47,28,2
27,-80,1
48,-93,1
-59,17,2
184,171,0
170,163,0
176,164,0
-59,33,2
17,-103,1
171,163,0
187,172,0
174,172,0
13,-60,1
-4,-78,1
-41,26,2
193,176,0
190,167,0
-41,34,2
-48,24,2
13,-75,1
180,158,0
10,-87,1
-54,20,2
-47,32,2
191,171,0
17,-10,1
3,-88,1
23,-75,1
-41,25,2
194,168,0
-50,29,2
192,180,0
-59,25,2
-63,6,2
26,-83,1
29,-71,1
-53,28,2
196,177,0
188,165,0
-61,21,2
14,-90,1
9,-77,1
45,-88,1
175,179,0
20,-75,1
-49,10,2
24,-97,1
173,187,0
186,162,0
12,-80,1
190,177,0
42,-104,1
-52,5,2
-45,27,2
-31,12,2
-46,24,2
30,-71,1
192,173,0
-47,20,2
27,-65,1
8,-93,1
-50,25,2
14,-91,1
28,-93,1
29,-65,1
-52,2,2
-61,41,2
13,-79,1
-55,15,2
14,-89,1
21,-74,1
-50,26,2
18,-83,1
189,176,0
30,-77,1
181,169,0
28,-69,1
27,-76,1
21,-85,1
-55,5,2
188,163,0
22,-86,1
178,189,0
-49,17,2
14,-83,1
-45,17,2
-27,19,2
-41,31,2
165,167,0
12,-64,1
-51,23,2
14,-73,1
187,183,0
30,-78,1
23,-77,1
171,170,0
188,170,0
-41,17,2
-50,26,2
25,-83,1
179,160,0
22,-84,1
0,-84,1
