X,Y,GRUP
178,169,0
-157,-108,3
-142,-101,3
-146,-106,3
-34,34,2
25,-101,1
-59,21,2
-153,-110,3
-54,26,2
-142,-91,3
13,-80,1
13,-84,1
-140,-104,3
-40,24,2
12,-94,1
-150,-100,3
190,169,0
13,-82,1
178,168,0
-149,-110,3
31,-99,1
-66,5,2
-40,22,2
18,-73,1
-60,22,2
174,155,0
-146,-93,3
-50,26,2
160,161,0
24,-88,1
167,160,0
-67,17,2
173,166,0
28,-91,1
-58,29,2
-41,32,2
-162,-80,3
-147,-103,3
-56,11,2
-149,-111,3
-51,18,2
-140,-92,3
172,168,0
-138,-99,3
-58,33,2
-38,19,2
-41,24,2
20,-100,1
33,-78,1
-44,38,2
18,-73,1
-44,22,2
34,-58,1
-170,-116,3
29,-105,1
-155,-109,3
-7,-90,1
-149,-110,3
8,-80,1
-42,4,2
-156,-97,3
42,-82,1
176,182,0
190,154,0
165,175,0
154,159,0
-54,16,2
20,-88,1
-52,16,2
173,181,0
21,-89,1
32,-77,1
-42,2,2
-151,-100,3
25,-82,1
-146,-104,3
-47,12,2
31,-66,1
182,169,0
-56,26,2
171,179,0
-29,35,2
-153,-98,3
179,174,0
17,-83,1
174,181,0
38,-92,1
18,-84,1
173,174,0
174,166,0
-45,5,2
26,-96,1
-150,-124,3
-160,-76,3
-154,-89,3
18,-68,1
-56,20,2
12,-73,1
-157,-93,3
-32,22,2
-169,-105,3
-47,16,2
33,-82,1
191,162,0
19,-80,1
-149,-87,3
-56,20,2
22,-77,1
22,-78,1
191,150,0
16,-74,1
-52,19,2
24,-70,1
31,-83,1
15,-65,1
-147,-80,3
-44,31,2
-156,-110,3
-54,20,2
-61,39,2
-50,26,2
-173,-120,3
178,155,0
-157,-108,3
-63,30,2
-51,37,2
196,170,0
-43,11,2
-153,-90,3
25,-81,1
-35,13,2
-157,-105,3
-157,-101,3
-34,31,2
184,174,0
-40,28,2
193,170,0
-55,16,2
-146,-105,3
23,-72,1
-38,13,2
-42,20,2
-48,5,2
-160,-104,3
26,-75,1
-34,35,2
-35,37,2
161,165,0
22,-71,1
-152,-110,3
187,178,0
167,149,0
27,-102,1
-50,21,2
12,-80,1
-71,12,2
-144,-101,3
-164,-98,3
-139,-99,3
18,-61,1
-58,27,2
-47,24,2
-158,-91,3
189,174,0
-155,-104,3
19,-79,1
-152,-111,3
175,155,0
169,158,0
194,167,0
16,-86,1
-158,-111,3
-157,-93,3
-152,-113,3
-46,24,2
2,-83,1
-144,-90,3
-46,11,2
30,-89,1
24,-103,1
-62,41,2
186,168,0
22,-88,1
170,177,0
29,-100,1
-145,-103,3
-162,-101,3
-147,-81,3
-59,13,2
-46,37,2
-35,17,2
38,-72,1
-145,-106,3
-50,7,2
-143,-102,3
-60,22,2
19,-97,1
34,-62,1
-151,-99,3
17,-87,1
-55,17,2
-171,-103,3
182,161,0
-47,8,2
-49,13,2
-61,49,2
-43,12,2
33,-92,1
183,194,0
171,170,0
-167,-107,3
174,170,0
22,-56,1
188,158,0
176,171,0
-148,-110,3
-35,11,2
24,-88,1
3,-94,1
-52,20,2
-138,-87,3
-54,38,2
0,-67,1
185,166,0
171,168,0
-42,22,2
-142,-82,3
7,-74,1
-157,-99,3
171,164,0
-145,-90,3
19,-79,1
-126,-108,3
-148,-108,3
193,157,0
-151,-113,3
16,-64,1
177,172,0
36,-94,1
-50,19,2
-43,18,2
32,-80,1
-151,-73,3
-34,1,2
22,-83,1
24,-86,1
190,153,0
187,177,0
-143,-109,3
168,180,0
-51,5,2
-60,30,2
-158,-82,3
177,156,0
-150,-92,3
32,-70,1
-141,-89,3
22,-105,1
-144,-86,3
-45,25,2
-52,5,2
183,166,0
-152,-95,3
177,181,0
-152,-93,3
170,181,0
-37,12,2
-55,26,2
-64,24,2
-28,28,2
177,178,0
185,159,0
157,167,0
-71,22,2
-55,4,2
-158,-107,3
-61,30,2
15,-69,1
21,-91,1
-139,-93,3
-58,16,2
24,-87,1
1,-73,1
11,-62,1
4,-68,1
23,-73,1
193,175,0
-46,16,2
