X,Y,GRUP
-52,37,2
190,157,0
-143,-110,3
182,158,0
110,-26,6
145,-107,7
-71,-67,5
-153,-98,3
-75,-82,5
137,-117,7
113,-114,7
35,-83,1
175,156,0
114,-21,6
-169,-168,4
172,175,0
-77,-78,5
26,-79,1
-53,28,2
177,164,0
-170,-178,4
-33,28,2
133,-23,6
24,-83,1
34,-61,1
22,-88,1
-52,2,2
21,-81,1
-165,-162,4
-139,-95,3
-146,-96,3
-174,-174,4
-132,-106,3
-163,-170,4
-169,-168,4
-31,27,2
193,180,0
31,-79,1
-144,-84,3
128,-121,7
-69,-64,5
-46,29,2
121,-9,6
129,-106,7
198,165,0
-59,17,2
177,174,0
21,-79,1
25,-66,1
-160,-167,4
-54,23,2
-67,-70,5
-168,-177,4
25,-85,1
125,-8,6
-149,-87,3
-167,-174,4
128,-121,7
126,-15,6
-167,-178,4
-159,-172,4
-68,-86,5
-157,-97,3
-171,-88,3
134,-17,6
-59,-79,5
114,-111,7
-71,-80,5
-173,-166,4
112,-29,6
17,-80,1
118,-26,6
113,-27,6
184,168,0
13,-83,1
8,-80,1
146,-119,7
-176,-168,4
124,-128,7
118,-27,6
145,-16,6
-174,-166,4
-177,-164,4
172,176,0
-36,31,2
-148,-101,3
23,-73,1
182,171,0
-83,-77,5
127,-6,6
125,-131,7
-161,-119,3
-164,-176,4
-143,-94,3
13,-85,1
-73,-69,5
132,-120,7
136,-101,7
110,-47,6
189,168,0
-161,-178,4
-174,-170,4
160,171,0
-74,-60,5
182,177,0
-171,-167,4
-147,-92,3
-52,30,2
-137,-113,3
-62,-88,5
131,-30,6
178,172,0
-172,-176,4
22,-67,1
-161,-172,4
-143,-106,3
34,-97,1
-158,-93,3
20,-82,1
-60,3,2
-165,-174,4
-141,-101,3
-33,13,2
-62,-10,2
-58,7,2
-147,-94,3
5,-84,1
-65,20,2
-60,-69,5
21,-75,1
-172,-164,4
140,-116,7
122,-33,6
176,172,0
-38,14,2
-153,-96,3
-154,-103,3
120,-37,6
190,164,0
-66,-86,5
-47,-67,5
178,160,0
117,-129,7
104,-22,6
184,168,0
120,-40,6
-62,-71,5
22,-84,1
-56,20,2
112,-16,6
-163,-106,3
29,-83,1
124,-116,7
-83,-70,5
-73,-93,5
20,-77,1
153,-109,7
128,-20,6
-162,-173,4
168,161,0
-166,-171,4
122,-117,7
113,0,6
132,-17,6
-42,9,2
-82,-56,5
177,167,0
-177,-173,4
134,-127,7
