X,Y,GRUP
166,181,0
22,-74,1
-153,-107,3
191,176,0
-156,-97,3
7,-72,1
10,-64,1
174,156,0
-162,-102,3
-131,-98,3
177,155,0
-165,-163,4
-165,-169,4
-149,-107,3
-178,-177,4
-141,-109,3
-163,-81,3
-171,-171,4
-170,-90,3
-163,-97,3
-136,-92,3
-167,-167,4
-173,-165,4
-51,23,2
-152,-91,3
-43,-4,2
16,-69,1
-171,-168,4
-167,-171,4
179,178,0
-47,10,2
41,-86,1
182,185,0
-155,-92,3
21,-71,1
-171,-172,4
-153,-98,3
-143,-92,3
-144,-87,3
181,183,0
-62,17,2
-170,-164,4
16,-84,1
-30,19,2
-50,25,2
-138,-105,3
-144,-99,3
15,-82,1
6,-103,1
-176,-170,4
-164,-173,4
-163,-171,4
34,-73,1
-167,-178,4
-31,32,2
22,-70,1
-49,35,2
-146,-103,3
-173,-169,4
199,171,0
-139,-96,3
15,-90,1
25,-92,1
-54,25,2
-146,-109,3
-173,-174,4
-165,-168,4
-167,-169,4
-46,25,2
-61,12,2
-173,-175,4
23,-73,1
174,181,0
-168,-172,4
-44,22,2
27,-79,1
-35,5,2
28,-79,1
11,-89,1
2,-92,1
-158,-102,3
-145,-109,3
-163,-169,4
-143,-112,3
-66,25,2
171,175,0
178,171,0
-170,-175,4
186,136,0
-132,-110,3
-44,32,2
-52,33,2
162,169,0
-158,-100,3
-48,24,2
-167,-167,4
-51,8,2
38,-65,1
-137,-94,3
174,180,0
-166,-173,4
186,158,0
-142,-88,3
-45,38,2
-52,19,2
-164,-82,3
176,164,0
9,-88,1
-169,-165,4
-174,-168,4
24,-84,1
-46,31,2
-72,38,2
-50,9,2
-167,-164,4
-53,17,2
199,180,0
-164,-102,3
-169,-179,4
198,168,0
-181,-171,4
-151,-104,3
5,-90,1
-56,38,2
-176,-176,4
-134,-106,3
-175,-173,4
189,157,0
-72,31,2
-62,28,2
-150,-89,3
-164,-165,4
-169,-175,4
12,-69,1
16,-78,1
24,-81,1
170,159,0
-154,-99,3
186,179,0
-49,24,2
-159,-169,4
-155,-108,3
24,-83,1
-147,-113,3
-152,-94,3
-167,-167,4
-148,-92,3
-7,-69,1
14,-75,1
-51,12,2
20,-77,1
183,171,0
-46,14,2
-156,-104,3
186,160,0
-40,14,2
43,-79,1
187,182,0
-59,33,2
25,-94,1
183,145,0
24,-85,1
-173,-180,4
33,-86,1
181,182,0
16,-80,1
183,175,0
170,167,0
-172,-175,4
176,170,0
-179,-116,3
183,173,0
13,-100,1
-172,-171,4
-178,-177,4
-170,-169,4
23,-80,1
-126,-115,3
-36,5,2
182,168,0
31,-73,1
-148,-114,3
-163,-114,3
46,-95,1
-67,27,2
-144,-104,3
-176,-172,4
-39,7,2
190,158,0
-172,-167,4
-54,19,2
-179,-174,4
164,164,0
-174,-174,4
39,-74,1
165,175,0
178,168,0
18,-87,1
-162,-175,4
176,180,0
172,170,0
-81,21,2
166,176,0
181,180,0
11,-86,1
180,178,0
-155,-100,3
-152,-97,3
29,-81,1
-55,26,2
29,-97,1
166,166,0
-177,-167,4
22,-87,1
196,161,0
-159,-83,3
29,-68,1
-151,-95,3
187,174,0
